0,0,0,2,0,0.06,25.57,42680.05,1848.22,2,,
0,0,0,1,0,0.06,40.61,42686.14,1852.71,0,,
0,0,0,3,0,0.06,12.96,42650.76,1821.56,2,,
0,0,0,3,0,0.06,52.7,42656.65,1825.96,2,,
0,0,0,4,0,10.97,41.96,42636.8,1806.22,2,,
0,0,0,4,0,15.57,8.94,42635.87,1804.49,2,,
2,2,1.6,0,18.65,171.42,37.45,42722.85,1897.65,2,,
2,2,1.6,0,17.8,168.64,48.08,42709.12,1885.73,2,,
2,2,1.6,0,15.85,166.47,38.19,42720.98,1894.97,2,,
2,2,1.6,1,2.94,103.59,48.05,42707.11,1871.4,0,,
0,0,0,1,0,15.85,87.55,42186.76,1391.24,2,,
0,0,0,1,0,6.38,4.92,42192.23,1402.11,2,,
1,1,1.1,1,0.82,0,9.68,42214.46,1434,2,,
2,2,1.1,3,0.93,20.33,58.41,42178.36,1400.39,0,,
1,1,7.7,7,1.3,1.94,388.8,41889,1057.38,0,,
2,2,1.6,7,0.88,22.3,15.72,41910.46,1082.48,0,,
2,2,1.6,7,0.9,18.95,19.87,41907.25,1078.66,0,,
2,3,1.6,6,0.8,26.35,24.19,41913.58,1087.39,0,,
2,2,1.6,7,0.9,9.59,32.46,41897.59,1068.6,0,,
2,3,1.6,6,0,21.27,70.33,41913.86,1089.85,0,,
2,3,1.6,8,0.24,15.13,29.55,41904.67,1080.96,0,,
1,1,1.6,8,0.64,15.93,29.95,41900.84,1076.58,0,,
1,1,1.6,8,0.68,5.39,17.41,41890.38,1065.81,0,,
3,3,1.6,8,0.74,1.4,157.25,41887.86,1061.57,0,,
3,3,1.6,8,0.77,0.06,167.04,41883.56,1056.63,0,,
3,3,1.6,9,0.79,0.09,194.82,41880.31,1052.84,0,,
3,3,1.6,9,0.82,0.06,278.21,41876.66,1048.74,0,,
3,3,1.6,9,0.98,0.09,264,41871.27,1043.02,0,,
4,4,4.7,9,0.96,0.54,266.76,41865.82,1037.48,0,,
4,4,4.7,9,0.97,2.56,314.88,41863.76,1035.3,0,,
0,0,0,0,0,0.06,35.14,41874.56,1050.47,0,,
0,0,0,0,0,0,19.7,41864.13,1038.57,2,,
0,0,0,0,0,0.06,49.94,41851.05,1028.29,0,,
0,0,0,9,62.81,31.25,45.1,41943.16,1110.54,0,,
1,1,1.1,11,63.35,31.25,66.53,41936.58,1105.51,0,,
1,1,1.1,13,61.96,31.25,62.5,41926.99,1097.33,0,,
2,2,1.1,13,58.74,31.25,13.1,41924.4,1094.43,0,,
2,2,1.1,15,98.32,31.25,50.98,41914.81,1092.54,0,,
5,5,1.1,13,98.32,31.25,8.21,41908.82,1088.31,2,,
1,2,2.5,13,98.32,31.25,164.85,41915.59,1099.51,0,,
5,6,1.1,14,97.84,31.25,62.38,41898.39,1080.54,2,,
7,9,1.3,13,85.19,31.25,132.58,41888.62,1069.25,0,,
4,6,1.3,13,94.71,31.25,12.44,41902.36,1086.26,2,,
5,7,1.3,14,86.64,31.25,36,41892.91,1075.37,2,,
6,8,1.3,15,31.33,31.25,27.99,41851.8,1034.1,0,,
2,3,2.9,2,38.1,108.86,58.06,41941.55,1108.38,2,,
2,2,1.1,2,40.2,119.85,33.05,41948.18,1116.45,2,,
2,2,1.1,2,40.3,138.54,95.47,41959.86,1130.58,0,,
2,3,2.9,3,41.77,98.1,43.43,41927.14,1094.12,0,,
3,4,1.1,2,45.72,122.97,18.43,41942.93,1113.02,0,,
2,3,2.9,3,47.86,117.93,14.62,41937.31,1107.19,0,,
2,3,2.9,3,50.8,123,31.54,41937.82,1108.84,0,,
3,3,1.1,3,51.48,128.54,6.65,41940.7,1112.57,2,,
3,5,2.9,7,54.21,85.5,23.53,41897.28,1066.68,1,,
3,5,2.9,7,57.37,97.17,8.24,41902.64,1074.58,2,,
5,5,2.7,8,60.01,69.8,13.39,41874.28,1045.86,2,,
1,2,1.5,9,48.03,97.87,4.92,41878.06,1060.53,0,,
2,3,1.5,13,40.43,85.81,13.31,41856.23,1040.37,2,,
0,0,0,2,0,40.76,49.68,41936.36,1104.25,1,,
0,0,0,2,0,36.46,22.29,41937.1,1105.8,2,,
0,0,0,2,0,44.94,11.16,41931.18,1098.92,2,,
1,1,12.8,2,0.35,52.38,80.87,41915.52,1084.55,2,,
2,2,2,4,3.79,39.27,23.04,41874.99,1055.79,0,,
1,1,2.5,7,38.38,61.63,15.87,41898.05,1060.73,2,,
4,4,1.7,6,40.73,49.77,60.32,41907.59,1071.59,2,,
4,4,1.7,6,41.99,38.27,37.22,41908.67,1074.45,2,,
4,4,1.7,6,41.55,30.27,24.51,41913.82,1080.71,2,,
3,3,3.5,3,36.21,0,25.34,41930.72,1105.18,2,,
4,4,1.7,5,48.11,15.07,42.45,41894.78,1066.6,0,,
4,4,1.7,4,47.65,10.23,58.61,41895.97,1068.71,2,,
3,3,1.7,4,46.81,5.96,49.9,41898.97,1072.31,0,,
2,3,1.7,4,46.61,3.06,62.02,41897.93,1072.23,0,,
2,3,1.7,6,48.64,16.94,81.27,41884.75,1058.16,0,,
1,1,7.3,7,3.67,98.13,73.87,41888.54,1052.68,0,,
1,1,7.3,6,3.91,83.59,51.41,41905.76,1072.69,0,,
2,2,3.9,10,3.47,98.16,21.87,41875.87,1040.06,0,,
0,0,0,3,3.28,63.31,168.13,41926.42,1099.64,0,,
1,1,7.3,7,3.32,72.86,12.6,41888.97,1057.3,0,,
1,1,7.3,3,0.56,48.98,105.84,41920.13,1096.28,0,,
0,0,0,3,0,54.69,16.65,41937.61,1118.06,0,,
4,6,1.9,8,3.07,39.98,38.16,41887.1,1061.77,0,,
3,6,1.9,10,0.27,18.65,50.95,41886.06,1065.49,2,,
3,3,2.7,2,0.23,0.06,10.08,42479.6,1696.5,2,,
2,3,2.7,2,0.22,0.06,100.22,42471.37,1690.17,2,,
2,3,2.7,2,0.18,10.02,11.69,42460.92,1677.63,0,,
2,3,2.7,2,0.17,2.23,58.62,42456.24,1674.84,0,,
1,1,2.7,2,4.33,2.17,26.44,42435.14,1659.83,2,,
2,3,2.7,2,0,24.06,58.62,42470.24,1676.08,0,,
0,0,0,7,5.02,11.94,157.59,42405.85,1625.03,1,,
0,0,0,6,9.4,10.57,45.14,42393.53,1614.63,0,,
0,0,0,6,12.79,9.31,57.54,42389.01,1611.9,1,,
1,1,3.4,4,0,18.15,67.39,42456.59,1661.58,2,,
1,1,3.4,4,0,13.88,5.99,42446.14,1651.49,2,,
1,1,3.4,4,0,19.1,49.77,42447.28,1651.33,2,,
0,0,0,8,5.55,6.05,12.11,42396.63,1614.89,0,,
0,0,0,5,10.77,1.37,16.96,42380.11,1601.39,0,,
0,0,0,4,1.89,25.17,8.21,42412.49,1626.98,0,,
1,1,2.6,3,2.39,0.06,10.6,42386.02,1596.09,0,,
1,1,2.8,7,0.83,0,8.99,42412.59,1638.41,0,,
3,3,2.2,6,0.76,15.85,104.77,42426.88,1647.19,0,,
0,0,0,7,0.86,0.12,15.67,42398.77,1625.35,0,,
2,2,2.8,7,0.71,23.13,12.44,42413.2,1631.35,2,,
3,5,1.7,6,0.59,62.44,10.11,42434.02,1641.55,0,,
0,0,0,2,0,6.57,6.22,42445.41,1675.02,0,,
0,0,0,3,0,0.06,58.06,42426.59,1656.22,0,,
0,0,0,3,0,0,17.63,42428.57,1656.32,2,,
0,0,0,4,0.02,2.57,27.72,42429.54,1655.2,1,,
1,1,1.3,2,12.58,5.5,237.57,43017.7,2453.1,0,,
2,2,1.3,6,13.76,2.4,8.47,42974.2,2427.92,0,,
1,1,1.3,3,12.11,0.06,263.09,43025.12,2452.8,0,,
1,1,3.4,6,6.69,0.09,2.46,42958.82,2424.96,0,,
3,5,1.1,9,13.65,29.18,31.75,42969.45,2401.81,2,,
0,0,0,0,2.07,0.09,34.52,42952.31,2414.36,2,,
0,0,0,0,8.53,3.59,205.55,43020.47,2439.97,0,,
0,0,0,0,8.43,0.09,151.47,43018.6,2440.89,0,,
0,0,0,1,7.16,5.72,51.9,43006.94,2424.87,0,,
0,0,0,2,0.84,0.06,18.89,42945.27,2377.94,0,,
0,0,0,2,0.62,0.06,11.52,42946.38,2375.35,0,,
0,0,0,3,1.16,0.06,1413.96,43003.63,2445.86,0,,
2,3,2.4,2,57.98,18.52,372.33,42694.43,2300.93,0,,
1,1,4.6,3,55.25,6.9,157.25,42687.04,2301.16,0,,
6,7,2.8,8,0.07,107.17,115.56,42690.21,2309.82,0,,
4,4,2.8,10,0.33,71.1,464.4,42722.44,2311.24,0,,
3,4,6.3,8,0.05,74.2,60.84,42647.01,2271.9,0,,
2,3,2.3,3,9.71,11.2,1603.28,42733.43,2307.8,0,,
2,2,3.8,4,8.9,7.5,650.19,42703.04,2292.82,0,,
2,2,3.7,2,1.63,8.26,304.65,42681.32,2291.69,0,,
